measure_date,year,month,day_name,day_of_week,city_name,vn_aqi,health_implication,dominant_pollutant,is_hazardous,data_quality_status,avg_aqi_owm,avg_pm2_5,max_pm2_5,avg_pm10,max_pm10,avg_co,avg_no2,avg_so2,avg_o3,avg_no,avg_nh3,record_count
2020-12-09,2020,12,Wednesday,4,Ho Chi Minh City,156,Unhealthy,PM2.5,false,Valid,4.21,87.75,218.99,99.33,244.47,1727.9,78.68,89.32,62.23,25.77,10.27,24
2020-12-10,2020,12,Thursday,5,Ho Chi Minh City,157,Unhealthy,PM2.5,false,Valid,4.75,89.61,168.14,102.5,181.34,1546.26,66.22,64.28,89.41,14.77,11.23,24
2020-12-11,2020,12,Friday,6,Ho Chi Minh City,163,Unhealthy,PM2.5,false,Valid,4.88,97.4,162.86,110.32,177.56,1598.84,64.46,60.76,46.49,12.35,9.28,24
2020-12-12,2020,12,Saturday,7,Ho Chi Minh City,198,Unhealthy,PM2.5,false,Valid,5.0,147.45,271.28,162.24,309.26,2396.03,68.59,53.37,36.12,23.08,11.62,24
2020-12-13,2020,12,Sunday,1,Ho Chi Minh City,189,Unhealthy,PM2.5,false,Valid,5.0,135.09,323.74,152.84,362.36,2118.98,61.11,55.56,54.36,12.99,10.48,24
2020-12-14,2020,12,Monday,2,Ho Chi Minh City,161,Unhealthy,PM2.5,false,Valid,4.92,94.56,171.05,116.48,199.04,1965.44,48.48,62.78,114.44,35.45,11.66,24
2020-12-15,2020,12,Tuesday,3,Ho Chi Minh City,196,Unhealthy,PM2.5,false,Valid,4.92,144.61,303.45,161.63,338.45,2374.89,84.35,67.23,133.04,25.81,11.05,24
2020-12-16,2020,12,Wednesday,4,Ho Chi Minh City,175,Unhealthy,PM2.5,false,Valid,4.75,114.54,326.56,139.24,387.55,2429.4,58.92,59.54,107.29,29.34,13.22,24
2020-12-17,2020,12,Thursday,5,Ho Chi Minh City,143,Poor,PM2.5,false,Valid,4.33,76.21,243.16,96.4,307.08,2188.52,47.41,53.7,91.55,32.94,14.24,24
2020-12-18,2020,12,Friday,6,Ho Chi Minh City,105,Poor,PM2.5,false,Valid,3.79,52.69,151.01,65.72,185.92,1503.15,48.46,55.46,47.21,24.49,11.19,24
2020-12-19,2020,12,Saturday,7,Ho Chi Minh City,34,Good,PM2.5,false,Valid,2.38,17.31,39.07,21.5,50.34,717.92,23.71,25.26,60.8,3.79,5.87,24
2020-12-20,2020,12,Sunday,1,Ho Chi Minh City,25,Good,Ozone,false,Valid,1.46,9.68,12.02,12.43,16.61,484.55,14.94,14.5,80.11,0.82,4.43,24
2020-12-21,2020,12,Monday,2,Ho Chi Minh City,31,Good,Ozone,false,Valid,1.79,13.12,19.35,16.3,23.37,526.41,16.49,16.38,100.14,0.93,4.58,24
2020-12-22,2020,12,Tuesday,3,Ho Chi Minh City,41,Good,PM2.5,false,Valid,2.63,20.53,25.79,24.63,31.14,635.03,22.97,20.21,65.09,0.43,5.72,24
2020-12-23,2020,12,Wednesday,4,Ho Chi Minh City,110,Poor,PM2.5,false,Valid,4.33,55.85,93.63,70.95,118.87,1495.92,45.37,57.55,34.69,31.13,10.41,24
2020-12-24,2020,12,Thursday,5,Ho Chi Minh City,101,Poor,PM2.5,false,Valid,3.92,50.28,139.43,65.31,175.19,1261.16,36.05,44.43,82.97,23.27,9.43,24
2020-12-25,2020,12,Friday,6,Ho Chi Minh City,121,Poor,PM2.5,false,Valid,4.08,62.56,156.67,81.91,194.25,1700.08,44.74,63.86,52.21,38.49,11.92,24
2020-12-26,2020,12,Saturday,7,Ho Chi Minh City,106,Poor,PM2.5,false,Valid,4.25,53.38,98.36,70.38,126.23,1183.27,40.63,41.8,117.3,11.99,9.95,24
2020-12-27,2020,12,Sunday,1,Ho Chi Minh City,134,Poor,PM2.5,false,Valid,5.0,70.47,120.63,86.46,147.97,1193.01,38.75,36.22,108.72,9.92,9.27,24
2020-12-28,2020,12,Monday,2,Ho Chi Minh City,121,Poor,PM2.5,false,Valid,4.63,62.44,110.89,79.86,138.25,1112.07,36.79,37.62,92.98,10.77,10.01,24
2020-12-29,2020,12,Tuesday,3,Ho Chi Minh City,104,Poor,PM2.5,false,Valid,4.42,52.16,80.05,70.01,107.18,1047.53,39.8,41.68,71.53,10.77,10.21,24
2020-12-30,2020,12,Wednesday,4,Ho Chi Minh City,52,Moderate,PM2.5,false,Valid,3.17,26.01,68.26,34.5,90.69,827.79,36.59,36.72,61.51,4.84,6.4,24
2020-12-31,2020,12,Thursday,5,Ho Chi Minh City,36,Good,PM2.5,false,Valid,2.46,18.46,26.54,22.92,30.51,682.04,23.13,25.65,100.14,0.7,5.04,24
2021-01-01,2021,1,Friday,6,Ho Chi Minh City,33,Good,PM2.5,false,Valid,2.29,16.86,24.16,21.5,31.93,570.5,24.97,26.6,91.55,1.13,5.92,24
2021-01-02,2021,1,Saturday,7,Ho Chi Minh City,53,Moderate,PM2.5,false,Valid,3.13,26.34,51.58,32.91,64.58,670.08,33.42,35.77,133.04,1.15,8.18,24
2021-01-03,2021,1,Sunday,1,Ho Chi Minh City,116,Poor,PM2.5,false,Valid,4.54,59.31,99.22,73.51,112.83,1094.54,52.24,60.94,185.97,9.61,13.09,24
2021-01-04,2021,1,Monday,2,Ho Chi Minh City,76,Moderate,PM2.5,false,Valid,3.96,38.02,71.78,48.42,90.36,1003.03,46.33,60.74,92.98,14.81,10.22,24
2021-01-05,2021,1,Tuesday,3,Ho Chi Minh City,91,Moderate,PM2.5,false,Valid,4.13,45.82,80.07,60.9,107.87,1266.72,45.73,58.51,111.58,20.63,12.95,24
2021-01-06,2021,1,Wednesday,4,Ho Chi Minh City,117,Poor,PM2.5,false,Valid,4.79,59.9,124.4,78.64,153.69,1380.21,58.52,79.91,101.57,27.35,14.21,24
2021-01-07,2021,1,Thursday,5,Ho Chi Minh City,119,Poor,PM2.5,false,Valid,4.63,61.2,108.57,82.54,149.69,1361.01,50.65,59.86,185.97,21.49,13.95,24
2021-01-08,2021,1,Friday,6,Ho Chi Minh City,124,Poor,Ozone,false,Valid,3.75,46.76,96.45,58.87,111.18,964.09,43.9,58.73,248.91,9.96,11.3,24
2021-01-09,2021,1,Saturday,7,Ho Chi Minh City,111,Poor,PM2.5,false,Valid,4.58,56.45,104.12,67.63,114.35,1024.45,42.64,49.11,203.13,4.43,11.44,24
2021-01-10,2021,1,Sunday,1,Ho Chi Minh City,111,Poor,PM2.5,false,Valid,4.63,56.26,104.17,69.07,122.39,1042.8,46.94,53.57,141.62,9.74,12.7,24
2021-01-11,2021,1,Monday,2,Ho Chi Minh City,53,Moderate,PM2.5,false,Valid,2.83,26.26,55.48,33.15,66.06,709.02,28.89,36.34,145.91,6.83,8.39,24
2021-01-12,2021,1,Tuesday,3,Ho Chi Minh City,56,Moderate,PM2.5,false,Valid,3.54,27.87,47.21,34.58,60.31,721.81,30.87,33.65,128.75,3.52,9.3,24
2021-01-13,2021,1,Wednesday,4,Ho Chi Minh City,129,Poor,PM2.5,false,Valid,4.67,67.45,132.67,83.59,167.13,1336.26,39.58,36.3,134.47,8.92,16.62,24
2021-01-14,2021,1,Thursday,5,Ho Chi Minh City,120,Poor,PM2.5,false,Valid,4.63,61.72,117.51,85.29,160.03,1127.92,43.31,50.05,117.3,9.87,11.32,24
2021-01-15,2021,1,Friday,6,Ho Chi Minh City,163,Unhealthy,PM2.5,false,Valid,4.63,98.19,191.14,123.01,237.76,1399.4,53.51,72.71,306.13,21.46,11.63,24
2021-01-16,2021,1,Saturday,7,Ho Chi Minh City,123,Poor,PM2.5,false,Valid,4.63,63.65,136.51,84.52,173.68,1065.06,36.4,36.06,171.66,10.26,9.18,24
2021-01-17,2021,1,Sunday,1,Ho Chi Minh City,62,Moderate,PM2.5,false,Valid,2.96,30.87,120.16,41.65,156.1,778.56,28.43,26.68,97.28,5.11,7.83,24
2021-01-18,2021,1,Monday,2,Ho Chi Minh City,79,Moderate,PM2.5,false,Valid,4.04,39.55,59.33,51.15,79.32,839.75,42.95,44.91,135.9,2.33,10.63,24
2021-01-19,2021,1,Tuesday,3,Ho Chi Minh City,138,Poor,PM2.5,false,Valid,4.71,72.75,109.83,92.55,144.19,1191.62,49.23,51.38,111.58,8.03,13.28,24
2021-01-20,2021,1,Wednesday,4,Ho Chi Minh City,159,Unhealthy,PM2.5,false,Valid,4.79,91.69,200.67,110.56,244.32,1272.28,51.9,66.59,168.8,14.2,11.59,24
2021-01-21,2021,1,Thursday,5,Ho Chi Minh City,105,Poor,PM2.5,false,Valid,4.5,52.82,87.03,67.94,106.12,932.65,41.93,40.91,79.39,3.06,9.14,24
2021-01-22,2021,1,Friday,6,Ho Chi Minh City,64,Moderate,PM2.5,false,Valid,3.79,31.71,40.95,40.11,58.28,808.32,33.28,31.91,80.82,2.07,7.77,24
2021-01-23,2021,1,Saturday,7,Ho Chi Minh City,114,Poor,PM2.5,false,Valid,4.71,57.97,94.36,71.27,119.4,1070.62,44.7,51.47,105.86,10.72,8.54,24
2021-01-24,2021,1,Sunday,1,Ho Chi Minh City,151,Unhealthy,PM2.5,false,Valid,4.92,80.04,116.74,98.85,147.67,1019.44,43.75,57.45,183.11,9.64,7.77,24
2021-01-25,2021,1,Monday,2,Ho Chi Minh City,145,Poor,PM2.5,false,Valid,4.88,77.55,151.69,100.81,193.72,1199.41,49.71,60.4,72.24,18.78,9.98,24
2021-01-26,2021,1,Tuesday,3,Ho Chi Minh City,140,Poor,PM2.5,false,Valid,4.75,73.89,174.72,97.52,225.61,1360.46,38.16,43.65,171.66,18.3,10.68,24
2021-01-27,2021,1,Wednesday,4,Ho Chi Minh City,,N/A,,false,Insufficient Data (<75%),5.0,202.29,202.29,254.51,254.51,4058.84,21.76,34.33,0.03,91.2,13.81,1
2021-01-28,2021,1,Thursday,5,Ho Chi Minh City,131,Poor,PM2.5,false,Valid,4.7,68.54,135.38,91.49,172.46,1442.54,51.8,56.69,89.41,20.63,14.1,23
2021-01-29,2021,1,Friday,6,Ho Chi Minh City,157,Unhealthy,PM2.5,false,Valid,4.92,89.43,158.59,113.31,202.42,1668.1,64.09,69.17,165.94,17.61,17.83,24
2021-01-30,2021,1,Saturday,7,Ho Chi Minh City,173,Unhealthy,PM2.5,false,Valid,4.92,111.7,220.06,137.79,264.2,1815.24,51.12,46.22,217.44,14.34,16.42,24
2021-01-31,2021,1,Sunday,1,Ho Chi Minh City,153,Unhealthy,PM2.5,false,Valid,4.5,83.73,288.12,103.93,329.54,1433.06,53.84,59.64,134.47,14.1,13.15,24
2021-02-01,2021,2,Monday,2,Ho Chi Minh City,103,Poor,PM2.5,false,Valid,4.29,51.8,102.0,71.7,139.27,1160.74,40.76,50.43,165.94,15.27,12.22,24
2021-02-02,2021,2,Tuesday,3,Ho Chi Minh City,119,Poor,PM2.5,false,Valid,4.17,61.62,140.27,83.88,184.07,1331.25,50.38,58.21,151.63,23.21,12.63,24
2021-02-03,2021,2,Wednesday,4,Ho Chi Minh City,186,Unhealthy,Ozone,false,Valid,4.79,105.14,220.91,132.33,241.22,1704.81,56.88,68.9,371.93,24.36,15.91,24
2021-02-04,2021,2,Thursday,5,Ho Chi Minh City,173,Unhealthy,PM2.5,false,Valid,4.96,112.69,205.7,142.04,255.04,1964.61,61.99,63.46,205.99,18.79,17.71,24
2021-02-05,2021,2,Friday,6,Ho Chi Minh City,136,Poor,PM2.5,false,Valid,4.58,71.61,193.2,94.65,236.34,1465.32,49.55,58.03,148.77,20.05,15.14,24
2021-02-06,2021,2,Saturday,7,Ho Chi Minh City,101,Poor,PM2.5,false,Valid,4.04,50.04,133.55,68.15,177.47,1059.49,47.17,51.75,167.37,9.27,11.92,24
2021-02-07,2021,2,Sunday,1,Ho Chi Minh City,78,Moderate,PM2.5,false,Valid,4.08,39.17,65.11,59.16,94.86,981.05,38.86,49.87,89.41,13.61,12.89,24
2021-02-08,2021,2,Monday,2,Ho Chi Minh City,172,Unhealthy,PM2.5,false,Valid,5.0,110.38,212.24,138.07,230.03,1742.92,69.86,92.86,277.52,29.55,15.42,24
2021-02-09,2021,2,Tuesday,3,Ho Chi Minh City,156,Unhealthy,Ozone,false,Valid,4.63,86.8,165.44,104.25,175.74,1275.06,51.91,71.51,311.85,18.77,11.5,24
2021-02-10,2021,2,Wednesday,4,Ho Chi Minh City,170,Unhealthy,PM2.5,false,Valid,4.79,108.51,196.93,124.37,223.77,1562.12,69.19,70.95,147.34,9.72,9.65,24
2021-02-11,2021,2,Thursday,5,Ho Chi Minh City,113,Poor,PM2.5,false,Valid,4.54,57.51,112.36,75.71,145.29,1281.74,45.63,52.31,137.33,11.48,10.89,24
2021-02-12,2021,2,Friday,6,Ho Chi Minh City,146,Poor,PM2.5,false,Valid,5.0,77.67,153.35,96.8,186.79,1314.56,46.3,60.3,191.69,16.92,10.65,24
2021-02-13,2021,2,Saturday,7,Ho Chi Minh City,152,Unhealthy,PM2.5,false,Valid,5.0,81.44,156.3,101.98,189.86,1140.99,52.61,58.61,113.01,8.24,9.44,24
2021-02-14,2021,2,Sunday,1,Ho Chi Minh City,126,Poor,PM2.5,false,Valid,5.0,65.8,104.27,84.78,130.52,915.97,41.97,45.91,117.3,1.8,7.84,24
2021-02-15,2021,2,Monday,2,Ho Chi Minh City,113,Poor,PM2.5,false,Valid,4.46,57.55,114.08,76.35,145.15,973.54,49.01,60.42,125.89,7.98,9.38,24
2021-02-16,2021,2,Tuesday,3,Ho Chi Minh City,89,Moderate,Ozone,false,Valid,3.92,37.55,73.73,53.69,89.28,735.16,37.81,44.14,191.69,2.85,7.46,24
2021-02-17,2021,2,Wednesday,4,Ho Chi Minh City,162,Unhealthy,PM2.5,false,Valid,4.63,96.6,288.44,125.69,359.13,1889.23,50.4,58.43,248.91,25.54,16.22,24
2021-02-18,2021,2,Thursday,5,Ho Chi Minh City,164,Unhealthy,PM2.5,false,Valid,4.96,99.77,330.84,124.01,404.53,2060.57,68.75,74.09,175.95,20.03,21.74,24
2021-02-19,2021,2,Friday,6,Ho Chi Minh City,142,Poor,PM2.5,false,Valid,5.0,75.12,131.23,94.94,160.88,1382.99,52.47,59.82,263.21,10.4,16.54,24
2021-02-20,2021,2,Saturday,7,Ho Chi Minh City,154,Unhealthy,Ozone,false,Valid,4.79,73.93,106.17,94.66,140.53,1393.0,44.37,54.97,306.13,12.84,15.19,24
2021-02-21,2021,2,Sunday,1,Ho Chi Minh City,105,Poor,PM2.5,false,Valid,4.33,53.01,128.41,73.28,166.52,1038.63,40.96,47.42,160.22,8.89,11.7,24
2021-02-22,2021,2,Monday,2,Ho Chi Minh City,129,Poor,Ozone,false,Valid,4.42,48.22,83.91,69.49,105.04,864.51,40.46,51.48,257.49,4.92,9.29,24
2021-02-23,2021,2,Tuesday,3,Ho Chi Minh City,131,Poor,Ozone,false,Valid,4.42,49.5,110.12,71.51,131.93,898.44,45.74,57.82,263.21,5.04,9.37,24
2021-02-24,2021,2,Wednesday,4,Ho Chi Minh City,78,Moderate,PM2.5,false,Valid,4.04,38.8,50.92,59.11,74.79,885.09,49.88,52.83,114.44,3.14,10.07,24
2021-02-25,2021,2,Thursday,5,Ho Chi Minh City,70,Moderate,PM2.5,false,Valid,3.88,35.03,59.19,53.73,88.27,918.47,45.94,48.91,90.12,6.43,11.18,24
2021-02-26,2021,2,Friday,6,Ho Chi Minh City,63,Moderate,PM2.5,false,Valid,4.0,31.15,37.74,46.7,56.55,862.28,43.27,46.85,65.8,2.85,10.29,24
2021-02-27,2021,2,Saturday,7,Ho Chi Minh City,77,Moderate,Ozone,false,Valid,3.67,32.75,50.76,43.48,65.61,716.53,30.43,32.01,181.68,1.78,6.78,24
2021-02-28,2021,2,Sunday,1,Ho Chi Minh City,34,Good,PM2.5,false,Valid,2.38,17.3,28.54,23.58,38.88,516.4,25.06,27.04,83.69,2.9,4.72,24
2021-03-01,2021,3,Monday,2,Ho Chi Minh City,70,Moderate,PM2.5,false,Valid,3.54,35.06,67.82,45.55,86.54,645.04,33.71,36.6,60.8,5.86,5.97,24
2021-03-02,2021,3,Tuesday,3,Ho Chi Minh City,61,Moderate,PM2.5,false,Valid,3.25,30.3,80.22,41.63,100.95,733.22,34.17,47.26,55.08,14.28,7.15,24
2021-03-03,2021,3,Wednesday,4,Ho Chi Minh City,86,Moderate,Ozone,false,Valid,2.83,28.36,74.99,39.76,100.0,742.12,31.05,47.28,188.83,13.07,8.97,24
2021-03-04,2021,3,Thursday,5,Ho Chi Minh City,50,Good,PM2.5,false,Valid,3.21,25.0,52.5,34.8,72.79,715.14,29.65,37.54,130.18,6.51,8.02,24
2021-03-05,2021,3,Friday,6,Ho Chi Minh City,49,Good,Ozone,false,Valid,3.04,21.2,34.17,29.41,46.25,619.31,26.65,30.89,158.79,4.01,6.75,24
2021-03-06,2021,3,Saturday,7,Ho Chi Minh City,54,Moderate,Ozone,false,Valid,3.42,25.17,39.24,33.53,53.46,640.17,23.76,28.69,163.08,3.57,6.64,24
2021-03-07,2021,3,Sunday,1,Ho Chi Minh City,51,Moderate,PM2.5,false,Valid,3.08,25.03,37.82,33.27,50.62,581.35,23.73,26.82,118.73,3.09,6.62,24
2021-03-08,2021,3,Monday,2,Ho Chi Minh City,48,Good,PM2.5,false,Valid,2.92,24.32,50.17,34.83,66.74,751.3,30.26,42.88,141.62,10.9,9.12,24
2021-03-09,2021,3,Tuesday,3,Ho Chi Minh City,79,Moderate,Ozone,false,Valid,3.58,31.71,63.57,44.38,86.04,871.18,33.42,44.94,183.11,9.62,10.45,24
2021-03-10,2021,3,Wednesday,4,Ho Chi Minh City,122,Poor,Ozone,false,Valid,4.0,39.12,77.81,53.31,103.67,930.15,36.01,48.34,243.19,9.74,10.65,24
2021-03-11,2021,3,Thursday,5,Ho Chi Minh City,119,Poor,Ozone,false,Valid,3.04,28.7,53.73,38.58,68.86,732.38,30.83,42.45,237.47,5.14,8.63,24
2021-03-12,2021,3,Friday,6,Ho Chi Minh City,130,Poor,Ozone,false,Valid,3.25,29.05,55.11,40.76,61.59,781.34,32.14,43.88,260.35,5.44,9.39,24
2021-03-13,2021,3,Saturday,7,Ho Chi Minh City,93,Moderate,Ozone,false,Valid,3.13,26.11,45.76,38.11,66.07,707.35,27.07,32.37,194.55,4.59,7.79,24
2021-03-14,2021,3,Sunday,1,Ho Chi Minh City,138,Poor,Ozone,false,Valid,3.58,36.44,95.96,52.59,115.34,717.64,27.95,35.1,277.52,6.41,7.15,24
2021-03-15,2021,3,Monday,2,Ho Chi Minh City,80,Moderate,PM2.5,false,Valid,4.0,40.08,69.98,57.3,97.49,855.88,39.19,52.35,167.37,8.23,8.28,24
2021-03-16,2021,3,Tuesday,3,Ho Chi Minh City,40,Good,PM2.5,false,Valid,2.75,20.37,27.85,34.93,44.54,623.9,32.5,33.75,124.45,1.31,6.01,24
2021-03-17,2021,3,Wednesday,4,Ho Chi Minh City,35,Good,PM2.5,false,Valid,2.42,17.89,27.52,30.91,47.4,630.58,33.2,36.05,92.98,3.22,6.26,24
2021-03-18,2021,3,Thursday,5,Ho Chi Minh City,34,Good,PM2.5,false,Valid,2.38,17.46,26.58,27.9,41.8,611.66,31.47,32.79,60.08,3.53,5.59,24
2021-03-19,2021,3,Friday,6,Ho Chi Minh City,36,Good,PM2.5,false,Valid,2.25,18.42,36.95,27.66,53.61,656.31,29.95,32.35,98.71,4.14,5.54,24
2021-03-20,2021,3,Saturday,7,Ho Chi Minh City,38,Good,PM2.5,false,Valid,2.54,19.34,25.69,25.94,34.97,587.74,28.6,28.16,95.84,1.28,4.78,24
2021-03-21,2021,3,Sunday,1,Ho Chi Minh City,65,Moderate,Ozone,false,Valid,2.83,22.04,38.18,30.47,51.37,627.38,29.69,37.85,171.66,6.79,5.96,24
2021-03-22,2021,3,Monday,2,Ho Chi Minh City,83,Moderate,PM2.5,false,Valid,4.04,41.48,81.08,57.65,113.92,1077.57,45.03,58.43,151.63,14.94,13.54,24
2021-03-23,2021,3,Tuesday,3,Ho Chi Minh City,148,Poor,PM2.5,false,Valid,4.54,78.86,144.59,99.32,184.72,1834.71,66.19,77.31,141.62,23.33,16.42,24
2021-03-24,2021,3,Wednesday,4,Ho Chi Minh City,91,Moderate,PM2.5,false,Valid,3.79,45.71,127.12,58.75,162.37,1169.92,49.61,64.48,88.69,18.45,10.61,24
2021-03-25,2021,3,Thursday,5,Ho Chi Minh City,64,Moderate,PM2.5,false,Valid,3.33,32.01,87.55,43.37,112.51,898.44,41.3,50.61,97.28,8.7,8.97,24
2021-03-26,2021,3,Friday,6,Ho Chi Minh City,38,Good,PM2.5,false,Valid,2.42,19.01,39.4,27.34,53.18,633.64,27.42,33.76,118.73,4.18,6.18,24
2021-03-27,2021,3,Saturday,7,Ho Chi Minh City,35,Good,Ozone,false,Valid,2.08,15.43,22.82,24.34,33.51,503.88,22.79,24.36,114.44,1.56,4.59,24
2021-03-28,2021,3,Sunday,1,Ho Chi Minh City,93,Moderate,Ozone,false,Valid,2.79,21.92,30.74,31.7,42.43,554.36,25.78,30.15,194.55,1.93,5.27,24
2021-03-29,2021,3,Monday,2,Ho Chi Minh City,106,Poor,Ozone,false,Valid,3.46,30.22,46.47,41.7,57.65,695.67,33.08,42.91,211.72,4.78,7.81,24
2021-03-30,2021,3,Tuesday,3,Ho Chi Minh City,63,Moderate,Ozone,false,Valid,3.71,30.14,47.28,39.7,54.51,704.84,24.9,40.42,170.23,10.09,8.53,24
2021-03-31,2021,3,Wednesday,4,Ho Chi Minh City,58,Moderate,Ozone,false,Valid,3.33,27.7,47.35,36.93,56.06,706.79,26.93,38.52,165.94,8.6,8.89,24
2021-04-01,2021,4,Thursday,5,Ho Chi Minh City,47,Good,Ozone,false,Valid,2.75,21.02,37.82,29.13,44.43,652.83,21.15,36.26,153.07,12.15,8.47,24
2021-04-02,2021,4,Friday,6,Ho Chi Minh City,66,Moderate,PM2.5,false,Valid,3.42,32.84,63.44,40.51,71.31,809.71,31.0,48.45,160.22,11.66,8.58,24
2021-04-03,2021,4,Saturday,7,Ho Chi Minh City,46,Good,Ozone,false,Valid,2.92,21.63,29.21,29.54,36.15,643.37,29.11,32.88,150.2,6.08,5.75,24
2021-04-04,2021,4,Sunday,1,Ho Chi Minh City,73,Moderate,PM2.5,false,Valid,3.58,36.32,65.62,48.18,86.49,772.44,33.44,33.0,53.64,4.24,6.61,24
2021-04-05,2021,4,Monday,2,Ho Chi Minh City,65,Moderate,PM2.5,false,Valid,3.5,32.44,72.69,44.64,94.66,841.14,36.96,44.29,131.61,7.29,8.87,24
2021-04-06,2021,4,Tuesday,3,Ho Chi Minh City,44,Good,PM2.5,false,Valid,2.88,22.1,37.39,32.93,53.04,847.82,32.91,40.57,128.75,6.46,8.81,24
2021-04-07,2021,4,Wednesday,4,Ho Chi Minh City,89,Moderate,Ozone,false,Valid,4.08,36.74,56.41,49.97,76.42,983.83,41.26,51.85,191.69,8.34,9.77,24
2021-04-08,2021,4,Thursday,5,Ho Chi Minh City,77,Moderate,PM2.5,false,Valid,4.08,38.72,65.04,52.58,87.09,990.23,48.21,56.05,114.44,6.14,8.68,24
2021-04-09,2021,4,Friday,6,Ho Chi Minh City,79,Moderate,PM2.5,false,Valid,3.96,39.52,88.14,51.96,107.51,1121.52,51.79,65.37,127.32,12.05,8.71,24
2021-04-10,2021,4,Saturday,7,Ho Chi Minh City,53,Moderate,PM2.5,false,Valid,3.17,26.39,45.12,35.65,60.71,763.81,32.15,33.74,92.98,2.65,6.53,24
2021-04-11,2021,4,Sunday,1,Ho Chi Minh City,47,Good,PM2.5,false,Valid,2.75,23.86,55.11,33.22,75.98,722.09,28.64,32.46,111.58,4.67,6.72,24
2021-04-12,2021,4,Monday,2,Ho Chi Minh City,106,Poor,Ozone,false,Valid,3.75,37.25,76.01,49.26,95.76,889.82,37.56,45.57,211.72,7.34,8.21,24
2021-04-13,2021,4,Tuesday,3,Ho Chi Minh City,62,Moderate,PM2.5,false,Valid,3.5,30.89,83.78,41.19,105.2,809.15,40.33,48.52,125.89,9.32,7.2,24
2021-04-14,2021,4,Wednesday,4,Ho Chi Minh City,118,Poor,PM2.5,false,Valid,4.33,60.56,152.0,72.01,172.46,1117.07,53.54,67.53,194.55,14.52,10.2,24
2021-04-15,2021,4,Thursday,5,Ho Chi Minh City,164,Unhealthy,PM2.5,false,Valid,4.75,99.9,228.85,115.33,246.04,1631.1,73.83,87.36,92.98,22.66,10.34,24
2021-04-16,2021,4,Friday,6,Ho Chi Minh City,109,Poor,PM2.5,false,Valid,4.54,55.36,117.13,66.77,134.23,1427.77,44.08,58.14,103.0,23.62,10.53,24
2021-04-17,2021,4,Saturday,7,Ho Chi Minh City,90,Moderate,PM2.5,false,Valid,4.21,45.01,125.29,54.35,144.95,1264.49,42.01,60.06,2.84,26.14,8.63,24
